marketplace_sku,internal_sku,pack_qty,cost_price,supplier,dimensions,category
A-TSHIRT-BLACK-PRINT-SUCCESSFORMULA-L,A-TSHIRT-BLACK-PRINT-SUCCESSFORMULA-L,1,0,lowercase,,T-Shirts
BEANIE-SHORTFUR-BROWN,BEANIE-SHORTFUR-BROWN,1,0,lowercase,,Beanies
BEANIE-FOLD-KING-ASHGREEN,BEANIE-FOLD-KING-ASHGREEN,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-SUCCESSFORMULA-XXL,A-TSHIRT-BLACK-PRINT-SUCCESSFORMULA-XXL,1,0,lowercase,,T-Shirts
BEANIE-FOLD-BRAND-GREY,BEANIE-FOLD-BRAND-GREY,1,0,lowercase,,Beanies
BEANIE-FOLD-PLAIN-BLUE,BEANIE-FOLD-PLAIN-BLUE,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-FUTURISTICSPACE-XL,A-TSHIRT-BLACK-PRINT-FUTURISTICSPACE-XL,1,0,lowercase,,T-Shirts
BEANIE-SILK- SHORT-GREY,BEANIE-SILK- SHORT-GREY,1,0,lowercase,,Beanies
CAP-BASEBALL-NY-PO2-WHITEBLACK,CAP-BASEBALL-NY-WHITEBLACK,2,0,lowercase,,Caps
A-TSHIRT-BLACK-PRINT-GTAWAITS-2XL,A-TSHIRT-BLACK-PRINT-GTAWAITS-2XL,1,0,lowercase,,T-Shirts
BEANIE-FUR-SHORT-MAROON,BEANIE-FUR-SHORT-MAROON,1,0,lowercase,,Beanies
CAP-BASEBALL-NY-MAROONWHITE,CAP-BASEBALL-NY-MAROONWHITE,1,0,lowercase,,Caps
2L-4L4E-SECU,2L-4L4E-SECU,1,0,none,,
BEANIE-SLOUCHY-LONG-NAVYBLUE,BEANIE-SLOUCHY-LONG-NAVYBLUE,1,0,lowercase,,Beanies
CAP-BASEBALL-NY-WHITEWHITE,CAP-BASEBALL-NY-WHITEWHITE,1,0,lowercase,,Caps
BANDANA-HANKY-PAISLEYPO3-REDNAVYWHITE,BANDANA-HANKY-PAISLEYPO3-REDNAVYWHITE,1,0,lowercase,,Bandanas
BANDANA-SKULL-ORANGE,BANDANA-SKULL-ORANGE,1,0,lowercase,,Bandanas
BEANIE-SLOUCHY-LONG-BIEGE,BEANIE-SLOUCHY-LONG-BIEGE,1,0,lowercase,,Beanies
59-10E8-ZXMS,59-10E8-ZXMS,1,0,none,,
A-TSHIRT-BLACK-PRINT-GREATTHINGSAWAIT-M,A-TSHIRT-BLACK-PRINT-GREATTHINGSAWAIT-M,1,0,lowercase,,T-Shirts
A-TSHIRT-BLACK-PRINT-GREATTHINGSAWAIT-L,A-TSHIRT-BLACK-PRINT-GREATTHINGSAWAIT-L,1,0,lowercase,,T-Shirts
BEANIE-FUR-SHORT-BLACK,BEANIE-FUR-SHORT-BLACK,1,0,lowercase,,Beanies
BANDANA-HANKY-PAISLEYPO3-BLACKNAVYWHITE,BANDANA-HANKY-PAISLEYPO3-BLACKNAVYWHITE,1,0,lowercase,,Bandanas
BEANIE-FOLD-BRAND-BLUE,BEANIE-FOLD-BRAND-BLUE,1,0,lowercase,,Beanies
BEANIE-FUR-SHORT-BROWN,BEANIE-FUR-SHORT-BROWN,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-SUCCESSFORMULA-M,A-TSHIRT-BLACK-PRINT-SUCCESSFORMULA-M,1,0,lowercase,,T-Shirts
BEANIE-FUROUT-SHORT-BLUE,BEANIE-FUROUT-SHORT-BLUE,1,0,lowercase,,Beanies
CAP-BASEBALL-NY-BLACKWHITE_,CAP-BASEBALL-NY-BLACKWHITE_,1,0,lowercase,,Caps
BEANIE-SHORTFUR-OLIVE,BEANIE-SHORTFUR-OLIVE,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-ARTISLIFE-XL,A-TSHIRT-BLACK-PRINT-ARTISLIFE-XL,1,0,lowercase,,T-Shirts
48-J9LB-ACWM,48-J9LB-ACWM,1,0,none,,
BANDANA-PACKOF5-PATTERN-MULTICOLOR,BANDANA-PATTERN-MULTICOLOR,5,0,lowercase,,Bandanas
BEANIE-FUR-SHORT-PURPLE,BEANIE-FUR-SHORT-PURPLE,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-FUTURISTICSPACE-L,A-TSHIRT-BLACK-PRINT-FUTURISTICSPACE-L,1,0,lowercase,,T-Shirts
A-TSHIRT-BLACK-PRINT-FUTURISTICSPACE-M,A-TSHIRT-BLACK-PRINT-FUTURISTICSPACE-M,1,0,lowercase,,T-Shirts
BEANIE-FOLD-KING-GREEN,BEANIE-FOLD-KING-GREEN,1,0,lowercase,,Beanies
BEANIE-SLOUCHY-LONG-GREEN,BEANIE-SLOUCHY-LONG-GREEN,1,0,lowercase,,Beanies
BEANIE-SHORT-SPORTS-BLUE,BEANIE-SHORT-SPORTS-BLUE,1,0,lowercase,,Beanies
CAP-BASEBALL-NY-PO2-GREYBLACK,CAP-BASEBALL-NY-GREYBLACK,2,0,lowercase,,Caps
BEANIE-FOLD-BRAND-LIGHTBROWN,BEANIE-FOLD-BRAND-LIGHTBROWN,1,0,lowercase,,Beanies
BEANIE-SHORT-SPORTS-BROWN,BEANIE-SHORT-SPORTS-BROWN,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-GREATTHINGSAWAIT-XL,A-TSHIRT-BLACK-PRINT-GREATTHINGSAWAIT-XL,1,0,lowercase,,T-Shirts
BEANIE-FOLD-BRAND-MAROON,BEANIE-FOLD-BRAND-MAROON,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-ARTISLIFE-XXL,A-TSHIRT-BLACK-PRINT-ARTISLIFE-XXL,1,0,lowercase,,T-Shirts
BEANIE-SHORT-SPORTS-MAROON,BEANIE-SHORT-SPORTS-MAROON,1,0,lowercase,,Beanies
BEANIE-SHORT-ZIPPER-BLUE,BEANIE-SHORT-ZIPPER-BLUE,1,0,lowercase,,Beanies
BEANIE-FUROUT-SHORT-GREY,BEANIE-FUROUT-SHORT-GREY,1,0,lowercase,,Beanies
BANDANA-SKULL-RED,BANDANA-SKULL-RED,1,0,lowercase,,Bandanas
BEANIE-SLOUCHY-LONG-BROWN,BEANIE-SLOUCHY-LONG-BROWN,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-BRITISHARMY-XXL,A-TSHIRT-BLACK-PRINT-BRITISHARMY-XXL,1,0,lowercase,,T-Shirts
CAP-BASEBALL-NY-GREYWHITE,CAP-BASEBALL-NY-GREYWHITE,1,0,lowercase,,Caps
14-32DR-R138,14-32DR-R138,1,0,none,,
5I-PC1Y-AVWS,5I-PC1Y-AVWS,1,0,none,,
25-UZ7P-MB9Z,25-UZ7P-MB9Z,1,0,none,,
A-TSHIRT-BLACK-PRINT-AMPM-XXL,A-TSHIRT-BLACK-PRINT-AMPM-XXL,1,0,lowercase,,T-Shirts
Black_Black_3,Black_Black_3,1,0,none,,
CAP-BASEBALL-NET-HALF-RED-WHITE,CAP-BASEBALL-NET-HALF-RED-WHITE,1,0,lowercase,,Caps
A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-M,A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-M,1,0,lowercase,,T-Shirts
A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-XL,A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-XL,1,0,lowercase,,T-Shirts
BANDANA-SKULL-GREEN,BANDANA-SKULL-GREEN,1,0,lowercase,,Bandanas
CAP-BASEBALL-NET-HALF-WHITE,CAP-BASEBALL-NET-HALF-WHITE,1,0,lowercase,,Caps
A-TSHIRT-BLACK-PRINT-MOONCHILD-XXL,A-TSHIRT-BLACK-PRINT-MOONCHILD-XXL,1,0,lowercase,,T-Shirts
CAP-BASEBALL-NET-HALF-BLACK,CAP-BASEBALL-NET-HALF-BLACK,1,0,lowercase,,Caps
BEANIE-FOLD-PLAIN-GREY,BEANIE-FOLD-PLAIN-GREY,1,0,lowercase,,Beanies
96-7KTF-QMRW,96-7KTF-QMRW,1,0,none,,
BEANIE-LONGFUR-BLACK,BEANIE-LONGFUR-BLACK,1,0,lowercase,,Beanies
CAP-BASEBALL-PLAIN-AQUA,CAP-BASEBALL-PLAIN-AQUA,1,0,lowercase,,Caps
A-TSHIRT-BLACK-PRINT-SOCOOL-XXL,A-TSHIRT-BLACK-PRINT-SOCOOL-XXL,1,0,lowercase,,T-Shirts
AK-ZZR6-ZP97,AK-ZZR6-ZP97,1,0,none,,
BEANIE-SHORT-SPORTS-BLACKBEANIE-SHORT-SP,BEANIE-SHORT-SPORTS-BLACKBEANIE-SHORT-SP,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-THEMOON-XXL,A-TSHIRT-BLACK-PRINT-THEMOON-XXL,1,0,lowercase,,T-Shirts
BANDANA-PACKOF5-SKULL-MULTICOLOR,BANDANA-SKULL-MULTICOLOR,5,0,lowercase,,Bandanas
CAP-BASEBALL-NY-CHARCOALWHITE,CAP-BASEBALL-NY-CHARCOALWHITE,1,0,lowercase,,Caps
CAP-BASEBALL-NET-HALF-GREEN,CAP-BASEBALL-NET-HALF-GREEN,1,0,lowercase,,Caps
A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-XXL,A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-XXL,1,0,lowercase,,T-Shirts
CAP-BASEBALL-NY-BLACKBLACK,CAP-BASEBALL-NY-BLACKBLACK,1,0,lowercase,,Caps
BEANIE-SILK- SHORT-BLUE,BEANIE-SILK- SHORT-BLUE,1,0,lowercase,,Beanies
A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-L,A-TSHIRT-BLACK-PRINT-BETHEUNIQUEONE-L,1,0,lowercase,,T-Shirts
