(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B09FG52R2H,B09FG52R2H,lowercase Unisex Cotton Cap (L-CAP-BASEBALL_Beige_Free Size),L-CAP-BASEBALL-BEIGE,"6,548",108,14.69%,16.59%,"8,772",131,14.98%,15.78%,99.98%,100.00%,262,2,4.00%,1.85%,"₹71,168.00",₹568.00,257,2
B0D2NRDTRJ,B0D2NRDTRJ,"lowercase Men Cotton Baseball Cap Adjustable Size for Summer Season, Running Workouts and Outdoor Activities (Grey)",L-CAP-BASEBALL-GREY-FBA,"4,112",51,9.23%,7.83%,"5,576",83,9.52%,10.00%,100.00%,100.00%,138,3,3.36%,5.88%,"₹36,973.00",₹807.00,135,3
B097YT1CTH,B097YT1CTH,"lowercase Unisex Polyester Waterproof Caps, Water Resistance, Rainy Season Men Caps for Monsoon Season Navy Blue, Free Size",L-CAP-RAIN-BASEBALL-NAVYBLUE,"3,001",41,6.73%,6.30%,"3,868",62,6.61%,7.47%,99.97%,100.00%,110,3,3.67%,7.32%,"₹29,651.00",₹807.00,104,3
B097PJSJJD,B097PJSJJD,lowercase Military Style Waterproof Rain Cap for Men and Women (Black),L-CAP-RAIN-MILITARY-BLACK,"2,140",52,4.80%,7.99%,"2,864",70,4.89%,8.43%,99.48%,100.00%,96,1,4.49%,1.92%,"₹26,184.00",₹269.00,93,1
B0B8T3MGYT,B0B8T3MGYT,lowercase Waterproof Rain Cap for Men and Women (Navy Blue),L-CAP-RAIN-MILITARY-NAVY,"1,529",21,3.43%,3.23%,"2,021",27,3.45%,3.25%,100.00%,100.00%,93,3,6.08%,14.29%,"₹25,287.00",₹837.00,92,3
B08Z8LM7J2,B08Z8LM7J2,lowercase Adult's Cotton Baseball Cap (L-Cap-Baseball_Black_Free Size),L-CAP-BASEBALL-BLACK,"1,746",28,3.92%,4.30%,"2,181",33,3.73%,3.98%,100.00%,100.00%,79,1,4.52%,3.57%,"₹21,551.00",₹269.00,77,1
B097YSLD7C,B097YSLD7C,"lowercase Unisex Polyester Waterproof Caps, Water Resistance, Rainy Season Men Caps for Monsoon Season Black, Free Size",L-CAP-RAIN-BASEBALL-BLACK,"1,982",29,4.45%,4.45%,"2,428",34,4.15%,4.10%,99.91%,100.00%,81,0,4.09%,0.00%,"₹21,820.00",₹0.00,76,0
B09C84YPXV,B09C84YPXV,lowercase Unisex Cotton Cap (L-CAP-BASEBALL_Charcoal_Free Size),L-CAP-BASEBALL-CHARCOAL,"1,155",18,2.59%,2.76%,"1,448",24,2.47%,2.89%,100.00%,100.00%,53,1,4.59%,5.56%,"₹13,844.00",₹298.00,53,1
B09N1S8DQV,B09N1S8DQV,"Acceptive Cotton Fashions Bike Riding And Cycling Anti Pollution Dust Sun Protection Half Ninja Face Cover Mask(Dark Grey), For Unisex",MASK-HALFBIKER-BLACK,659,8,1.48%,1.23%,"1,030",15,1.76%,1.81%,100.00%,100.00%,56,2,8.50%,25.00%,"₹10,548.16",₹366.16,50,1
B09FG27YWS,B09FG27YWS,lowercase Unisex Cotton Cap (L-Cap-Baseball_Navy Blue_Free Size),L-CAP-BASEBALL-NAVYBLUE,919,11,2.06%,1.69%,"1,166",11,1.99%,1.33%,100.00%,100.00%,51,0,5.55%,0.00%,"₹13,287.00",₹0.00,49,0
B09D8DPLZ4,B09D8DPLZ4,"lowercase Polyester Multifunctional Uv Resistant Bandana Balaclava Headband Seamless Sweatband For Dust & Wind Protection Bike Riding And O (Pattern Black, Unisex)",BANDANA-PACKOF5-PATTERN-BLACK,"1,033",14,2.32%,2.15%,"1,375",15,2.35%,1.81%,100.00%,100.00%,40,0,3.87%,0.00%,"₹11,960.00",₹0.00,39,0
B0917SH9XF,B0917SH9XF,lowercase Polyester Full Net/Full Air Mesh Baseball Cap with Curved Visor for Men & Women Free Size and Adjustable Strap (White),L-CAP-BASEBALL-FULLNET-WHITE,823,13,1.85%,2.00%,"1,204",14,2.06%,1.69%,100.00%,100.00%,39,0,4.74%,0.00%,"₹11,661.00",₹0.00,36,0
B0BR3FWH1J,B0BR3FWH1J,"lowercase Men Cotton Caps , Summer Hat, Branded with Adjustable Strap,All Sports Cricket, Gym, Sports with Airholes Navy Blue ( Alpha, Free Size, Black)",CAPS-PARA-BLACK,"2,404",22,5.39%,3.38%,"3,319",30,5.67%,3.61%,100.00%,100.00%,33,0,1.37%,0.00%,"₹11,567.00",₹0.00,33,0
B08Z8NL57D,B08Z8NL57D,lowercase Unisex Cotton Cap (L-CAP-BASEBALL_White_Free Size),L-CAP-BASEBALL-WHITE,812,9,1.82%,1.38%,"1,011",9,1.73%,1.08%,100.00%,100.00%,46,0,5.67%,0.00%,"₹12,187.00",₹0.00,32,0
