"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","204971179809835456_1","2025-10-01","Maharashtra","lowercase Winter Woolen Skull Slouchy Knitted Beanie Cap with Fur Inside for Men and Women (Charcoal)","BEANIE-LONGFUR-CHARCOAL","Free Size","1","218.0","218.0",
"DELIVERED","205548555404969920_1","2025-10-03","Maharashtra","lowercase Dryfit Lightweight Baseball Caps Men for Summer Season","Lowercase-DRYFIT-Navy","Free Size","1","292.0","292.0",
"DELIVERED","205613144726501632_1","2025-10-03","Andhra Pradesh","Lowercase Branded Monsoon Season Waterproof Rain Cap","Cap-Baseball-Rain-Black","Free Size","1","171.0","171.0",
"DELIVERED","205728230324439744_1","2025-10-03","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","138.0","138.0",
"RTO_COMPLETE","205930514702536384_1","2025-10-04","Rajasthan","Lowercase Navy Blue Parachute Baseball Cap for men ","Cap-Para-Navy","Free Size","1","329.0","329.0",
"CANCELLED","205937967955578624_1","2025-10-04","Chhattisgarh","Lowercase Black Parachute Baseball Cap for men ","ParaBlack","Free Size","1","329.0","329.0",
"DELIVERED","206039862049114048_1","2025-10-04","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Black)","Rain-Military-Black","Free Size","1","189.0","189.0",
"DELIVERED","206062310182225856_1","2025-10-04","Rajasthan","Lowercase Navy Blue Parachute Baseball Cap for men ","Cap-Para-Navy","Free Size","1","329.0","329.0",
"CANCELLED","206337548795121280_1","2025-10-05","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"RTO_COMPLETE","206404946554390464_1","2025-10-05","West Bengal","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","206411491077918336_1","2025-10-05","Himachal Pradesh","lowercase Dryfit Lightweight Baseball Caps Men for Summer Season","Lowercase-DRYFIT-Navy","Free Size","1","305.0","305.0",
"DELIVERED","206412818680094208_1","2025-10-05","West Bengal","Lowercase Casual Occean Blue Cotton T-Shirt for Men","1205774114","XXL","1","319.0","319.0",
"DELIVERED","206435535219301893_1","2025-10-05","Karnataka","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"CANCELLED","206652407084616384_1","2025-10-06","Gujarat","Beanie Beige Cap","BeanieGray&Gloves","Free Size","1","399.0","399.0",
"DELIVERED","206751055182068225_1","2025-10-06","Manipur","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"RTO_COMPLETE","206883830358899200_1","2025-10-07","Madhya Pradesh","lowercase Winter Woolen Skull Slouchy Knitted Beanie Cap with Fur Inside for Men and Women (Beige)","BEANIE-LONGFUR-BEIGE","Free Size","1","192.0","192.0",
"DELIVERED","206968314254672512_1","2025-10-07","Uttar Pradesh","lowercase Waterproof Rain Cap for Men and Women (Navy Blue)","L-CAP-RAIN-MILITARY-NAVY","Free Size","1","177.0","177.0",
"DELIVERED","207464848476535104_1","2025-10-08","Andhra Pradesh","lowercase Waterproof Rain Cap for Men and Women (Black)","L-CAP-RAIN-MILITARY-BLACK","Free Size","1","177.0","177.0",
"DELIVERED","207469816566708544_1","2025-10-08","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","207477409038549632_1","2025-10-08","Tamil Nadu","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","207499020658211136_1","2025-10-08","Andhra Pradesh","Lowercase Branded Monsoon Season Waterproof Rain Cap","Cap-Baseball-Rain-Black","Free Size","1","171.0","171.0",
"DELIVERED","207831881772726784_1","2025-10-09","Karnataka","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
"DELIVERED","208058552291457536_1","2025-10-10","Arunachal Pradesh","lowercase Dryfit Lightweight Baseball Caps Men for Summer Season","Lowercase-DRYFIT-Navy","Free Size","1","305.0","305.0",
"RTO_COMPLETE","208112845589771584_1","2025-10-10","Rajasthan","Lowercase Mens Hoodie Cotton Blend | Casual Men Wear Hoodies","Hoodie-Black","L","1","599.0","599.0",
"DELIVERED","208137117028612608_1","2025-10-10","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","138.0","138.0",
"DELIVERED","208287043762129281_1","2025-10-10","Maharashtra","lowercase Waterproof Rain Cap for Men and Women (Black)","L-CAP-RAIN-MILITARY-BLACK","Free Size","1","177.0","177.0",
"RTO_COMPLETE","208430446843922368_1","2025-10-11","Punjab","lowercase Waterproof Rain Cap for Men and Women (Navy Blue)","L-CAP-RAIN-MILITARY-NAVY","Free Size","1","177.0","177.0",
"DELIVERED","209147001070764672_1","2025-10-13","Andhra Pradesh","lowercase Military Style Waterproof Rain Cap for Men and Women (Navy)","cap-rain-military-navy","Free Size","1","153.0","153.0",
